,Team,2021 Preseason Rating,Postseason,Season Change
35,Georgia,23.84,49.07,25.23
21,Cincinnati,5.57,28.81,23.24
7,Arkansas,-2.75,20.08,22.83
12,Baylor,0.40,19.56,19.16
119,UTEP,-19.77,-1.66,18.11
23,Coastal Carolina,-3.02,14.96,17.98
101,Tennessee,-1.45,15.57,17.02
127,Western Kentucky,-4.06,12.34,16.40
128,Western Michigan,-0.98,14.99,15.97
86,Pittsburgh,2.22,17.56,15.34
68,Nebraska,1.80,17.05,15.25
46,Kansas State,-3.18,12.07,15.25
1,Air Force,-13.36,1.74,15.10
84,Oregon State,-6.93,7.52,14.45
9,Army,-9.37,4.71,14.08
49,Liberty,-6.84,6.95,13.79
110,UAB,3.76,17.48,13.72
40,Houston,1.62,14.5,12.88
48,Kentucky,1.67,14.25,12.58
87,Purdue,0.04,12.51,12.47
80,Oklahoma State,6.75,19.04,12.29
78,Ohio State,22.70,34.85,12.15
56,Maryland,-2.25,9.71,11.96
60,Michigan,14.42,25.97,11.55
81,Old Dominion,-18.01,-6.86,11.15
61,Michigan State,3.44,14.25,10.81
17,BYU,-1.78,8.8,10.58
67,NC State,4.74,15,10.26
37,Georgia State,-6.23,2.99,9.22
6,Arizona State,8.71,17.31,8.60
109,Tulsa,-5.30,2.75,8.05
53,Louisville,-0.58,7.31,7.89
103,Texas A&M,11.03,18.91,7.88
63,Minnesota,4.82,12.41,7.59
82,Ole Miss,6.61,13.72,7.11
92,SMU,-0.30,6.73,7.03
44,Iowa State,8.57,15.15,6.58
64,Mississippi State,8.39,14.86,6.47
93,South Alabama,-15.93,-9.56,6.37
28,East Carolina,-10.71,-4.44,6.27
117,Utah,13.47,19.57,6.10
98,Syracuse,-5.49,0.21,5.70
106,Toledo,2.15,7.68,5.53
30,Florida,12.23,17.73,5.50
59,Miami (OH),-5.01,0.48,5.49
47,Kent State,-11.23,-6.03,5.20
4,Appalachian State,8.03,13.16,5.13
83,Oregon,13.71,18.83,5.12
19,Central Michigan,-7.56,-2.51,5.05
3,Alabama,31.97,36.99,5.02
94,South Carolina,-0.86,3.46,4.32
112,UCLA,3.19,7.45,4.26
41,Illinois,-7.53,-3.53,4.00
66,Navy,-16.94,-13.93,3.01
33,Florida State,3.26,5.91,2.65
34,Fresno State,6.41,9.06,2.65
116,UT San Antonio,-4.94,-2.33,2.61
15,Bowling Green,-21.27,-18.79,2.48
129,Wisconsin,15.81,18.24,2.43
105,Texas Tech,0.27,2.66,2.39
89,Rutgers,-11.92,-9.75,2.17
123,Wake Forest,2.10,4.08,1.98
121,Virginia,0.88,2.62,1.74
118,Utah State,-1.88,-0.23,1.65
50,Louisiana,2.36,3.64,1.28
126,West Virginia,2.32,3.56,1.24
76,Notre Dame,15.59,16.77,1.18
25,Colorado State,-3.84,-3.66,0.18
90,San Diego State,-0.66,-0.59,0.07
88,Rice,-17.37,-17.63,-0.26
43,Iowa,6.43,5.83,-0.60
74,Northern Illinois,-8.56,-9.27,-0.71
69,Nevada,-2.61,-3.74,-1.13
91,San José State,-11.22,-12.66,-1.44
85,Penn State,15.58,13.82,-1.76
10,Auburn,13.22,10.96,-2.26
102,Texas,7.81,5.29,-2.52
125,Washington State,4.30,1.62,-2.68
55,Marshall,-0.40,-3.39,-2.99
39,Hawai'i,-4.87,-8.28,-3.41
18,California,1.88,-2.22,-4.10
72,North Carolina,9.20,5.07,-4.13
130,Wyoming,-2.33,-6.76,-4.43
71,New Mexico State,-25.50,-30.02,-4.52
14,Boston College,1.88,-2.93,-4.81
99,TCU,8.20,3.22,-4.98
111,UCF,12.74,6.99,-5.75
65,Missouri,3.95,-2.54,-6.49
75,Northwestern,-4.43,-11.33,-6.90
13,Boise State,8.62,1.15,-7.47
38,Georgia Tech,0.27,-7.35,-7.62
108,Tulane,1.45,-6.32,-7.77
114,UNLV,-12.81,-20.62,-7.81
2,Akron,-18.29,-26.65,-8.36
122,Virginia Tech,3.56,-5.26,-8.82
62,Middle Tennessee,-2.36,-11.4,-9.04
26,Connecticut,-26.81,-35.92,-9.11
79,Oklahoma,23.40,14.28,-9.12
51,Louisiana Monroe,-14.35,-23.59,-9.24
73,North Texas,-1.82,-11.32,-9.50
107,Troy,3.33,-6.24,-9.57
11,Ball State,-8.96,-18.81,-9.85
58,Miami,15.15,4.78,-10.37
20,Charlotte,-11.51,-21.93,-10.42
22,Clemson,31.13,20.48,-10.65
52,Louisiana Tech,-1.73,-12.61,-10.88
54,LSU,17.42,6.04,-11.38
113,UMass,-24.56,-36.2,-11.64
45,Kansas,-16.09,-27.87,-11.78
5,Arizona,-1.00,-12.84,-11.84
29,Eastern Michigan,-3.30,-15.43,-12.13
57,Memphis,6.09,-6.3,-12.39
36,Georgia Southern,-7.16,-19.72,-12.56
24,Colorado,-2.19,-15.27,-13.08
77,Ohio,0.50,-13.76,-14.26
104,Texas State,-11.23,-25.62,-14.39
31,Florida Atlantic,7.73,-7.46,-15.19
100,Temple,-5.31,-20.58,-15.27
27,Duke,-3.87,-19.16,-15.29
42,Indiana,4.42,-11.02,-15.44
96,Southern Mississippi,-1.64,-19.25,-17.61
70,New Mexico,-16.18,-33.88,-17.70
97,Stanford,-0.64,-18.75,-18.11
120,Vanderbilt,-5.94,-24.41,-18.47
95,South Florida,1.31,-17.35,-18.66
115,USC,12.19,-7.18,-19.37
16,Buffalo,-3.37,-22.84,-19.47
124,Washington,16.94,-4.38,-21.32
32,Florida International,-2.06,-25.02,-22.96
8,Arkansas State,-1.13,-26.13,-25.00